Motion,Date,Time
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
1,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
0,2025-05-19,14:26:45
